uniqueID,drugName,condition,review,rating,date,usefulCount,condition_primary,condition_subtype,condition_clean,rating_3_class,log_usefulCount,review_length,est_token_count,char_length,avg_word_length,year,month
158784,Methylphenidate,ADHD,"I am very happy with Concerta. I am 17 years old and started taking this about 3 months ago. Before I took this, I had a lot of trouble in school with paying attention and focusing, and after I took it, I noticed an immediate difference and it was so much easier to focus and pay attention. Another really positive feedback from Concerta is that it helps me engage in conversation more because I am more focused and I don't interrupt people like I used to. Also, it helps me think things through more.",9,24-Jun-08,122,ADHD,,ADHD,3,4.812184355372417,94,122,501,5.33,2008,6
37649,Vyvanse,ADHD,"I am a 19 year old college student and just got prescribed Vyvanse about 2 days ago. When I take it I mainly feel relaxed and sometimes excited. I've never been on any stimulant or ADD medication before. My main concern is losing weight on this medicine. I'm about 5'9"" and weigh about 135lbs. I eat a lot and I'm still fairly skinny. I've always worried about my weight and the last thing I want is to get skinnier.",5,17-Jul-09,6,ADHD,,ADHD,2,1.9459101490553132,79,102,416,5.27,2009,7
89121,Vytorin,High Cholesterol,Very effective.,10,8-Nov-09,10,High Cholesterol,,High Cholesterol,3,2.3978952727983707,2,2,15,7.5,2009,11
13653,Amphetamine / dextroamphetamine,ADHD,Great,10,20-Oct-09,3,ADHD,,ADHD,3,1.3862943611198906,1,1,5,5.0,2009,10
173773,Mometasone,Eczema,Good medicine,10,23-Jan-11,12,Eczema,,Eczema,3,2.5649493574615367,2,2,13,6.5,2011,1
160223,Rivaroxaban,Deep Vein Thrombosis,Good,9,8-Dec-13,11,Deep Vein Thrombosis,,Deep Vein Thrombosis,3,2.4849066497880004,1,1,4,4.0,2013,12
171743,Loratadine,Allergic Rhinitis,It works.,10,11-May-13,10,Allergic Rhinitis,,Allergic Rhinitis,3,2.3978952727983707,2,2,9,4.5,2013,5
61289,Xyzal,Allergic Rhinitis,It works.,9,22-Nov-08,12,Allergic Rhinitis,,Allergic Rhinitis,3,2.5649493574615367,2,2,9,4.5,2008,11
168419,Monistat 7,Vaginal Yeast Infection,I loved it!!!!,9,12-Jun-17,0,Vaginal Yeast Infection,,Vaginal Yeast Infection,3,0.0,3,3,14,4.67,2017,6
203401,Halcion,Insomnia,Works great!,10,30-Sep-11,36,Insomnia,,Insomnia,3,3.6109179126442243,2,2,12,6.0,2011,9
65194,Mysoline,Seizures,Great!,10,26-Aug-09,21,Seizures,,Seizures,3,3.091042453358316,1,1,6,6.0,2009,8
92273,Lyrica,Generalized Anxiety Disorde,"The first time I used Lyrica I experienced an amazingly profound reaction; layers of depression and anxiety that had built up over several years melted away within minutes. That was years ago and I have since both weaned myself off the drug and restarted taking it again. One thing I rarely see mentioned is the terrifyingly bad withdrawal effect- missing more than one dose for me throws me into the absolute darkest pits of despair. Has anyone else experienced this? When I went off the drug the first time I felt like I had performed a miracle; so strong was the feeling that it took a long time for me to convince myself that things were bad enough to warrant going back on. It still helps, but nothing as miraculous as the first time.",10,4-Oct-09,75,Generalized Anxiety Disorde,,Generalized Anxiety Disorde,3,4.330733340286331,134,174,739,5.51,2009,10
136543,Coartem,Malaria,Excellent,10,28-Mar-13,6,Malaria,,Malaria,3,1.9459101490553132,1,1,9,9.0,2013,3
214906,Human papillomavirus vaccine,Human Papillomavirus Prophylaxis,Very good.,10,17-Dec-08,2,Human Papillomavirus Prophylaxis,,Human Papillomavirus Prophylaxis,3,1.0986122886681098,2,2,10,5.0,2008,12
69295,Celebrex,Pain,I have had chronic pain and tried many medicines including narcotics to help. Celebrex has helped me so much. I am able to do so many things that I couldn't before. My doctor has me taking it with Tylenol w/Codeine #3 and Carisoprodol.,8,4-Apr-08,52,Pain,,Pain,3,3.970291913552122,43,55,235,5.47,2008,4
173823,Provigil,Obstructive Sleep Apnea/Hypopnea Syndrome,Positive,7,27-Jan-15,16,Obstructive Sleep Apnea/Hypopnea Syndrome,,Obstructive Sleep Apnea/Hypopnea Syndrome,3,2.833213344056216,1,1,8,8.0,2015,1
52996,Septra,Bronchitis,Great!,8,18-Oct-13,3,Bronchitis,,Bronchitis,3,1.3862943611198906,1,1,6,6.0,2013,10
87778,Naproxen,Back Pain,Good.,4,9-Feb-10,18,Back Pain,,Back Pain,1,2.9444389791664403,1,1,5,5.0,2010,2
172109,Tylenol PM,Insomnia,Great,8,11-May-17,3,Insomnia,,Insomnia,3,1.3862943611198906,1,1,5,5.0,2017,5
194386,Crestor,High Cholesterol,Very good,10,23-May-16,17,High Cholesterol,,High Cholesterol,3,2.8903717578961645,2,2,9,4.5,2016,5
161816,Dermal filler,acial Wrinkles,I loved it!!!!,10,21-Apr-17,7,acial Wrinkles,,acial Wrinkles,3,2.0794415416798357,3,3,14,4.67,2017,4
66751,Seroquel,Schizoaffective Disorde,Works for me.,9,11-Mar-14,14,Schizoaffective Disorde,,Schizoaffective Disorde,3,2.70805020110221,3,3,13,4.33,2014,3
87815,Naproxen,Pain,Works well.,10,3-Dec-08,10,Pain,,Pain,3,2.3978952727983707,2,2,11,5.5,2008,12
181033,Olopatadine,Seasonal Allergic Conjunctivitis,great,8,5-Dec-16,0,Seasonal Allergic Conjunctivitis,,Seasonal Allergic Conjunctivitis,3,0.0,1,1,5,5.0,2016,12
